"Rank","Name","","Team","Pos","Age","Value"
"1","Justin Jefferson","","MIN","WR","22Y","45.1"
"2","Ja'Marr Chase","","CIN","WR","21Y","44.9"
"3","Jonathan Taylor","","IND","RB","22Y","44.2"
"4","CeeDee Lamb","","DAL","WR","22Y","43.6"
"5","DK Metcalf","","SEA","WR","23Y","43.2"
"6","D'Andre Swift","","DET","RB","22Y","42.8"
"7","Najee Harris","","PIT","RB","23Y","42.4"
"8","Tyreek Hill","","KC","WR","27Y","41.7"
"9","Christian McCaffrey","","CAR","RB","25Y","41.0"
"10","Dalvin Cook","","MIN","RB","26Y","40.6"
"11","Davante Adams","","GB","WR","28Y","40.3"
"12","Nick Chubb","","CLE","RB","25Y","39.9"
"13","Saquon Barkley","","NYG","RB","24Y","39.6"
"14","AJ Brown","","TEN","WR","24Y","39.3"
"15","Derrick Henry","","TEN","RB","27Y","38.1"
"16","Alvin Kamara","","NO","RB","26Y","37.7"
"17","DJ Moore","","CAR","WR","24Y","36.5"
"18","Kyle Pitts","","ATL","TE","21Y","35.1"
"19","Stefon Diggs","","BUF","WR","27Y","35.1"
"20","Terry McLaurin","","WAS","WR","26Y","34.1"
"21","DeAndre Hopkins","","ARI","WR","29Y","32.8"
"22","Ezekiel Elliott","","DAL","RB","26Y","32.8"
"23","Antonio Gibson","","WAS","RB","23Y","29.9"
"24","Calvin Ridley","","ATL","WR","26Y","29.8"
"25","Cooper Kupp","","LAR","WR","28Y","28.2"
"26","Austin Ekeler","","LAC","RB","26Y","27.9"
"27","Travis Kelce","","KC","TE","32Y","27.8"
"28","Joe Mixon","","CIN","RB","25Y","27.0"
"29","Darren Waller","","LVR","TE","29Y","26.1"
"30","Aaron Jones","","GB","RB","26Y","25.2"
"31","Chris Godwin","","TB","WR","25Y","25.0"
"32","Javonte Williams","","DEN","RB","21Y","24.4"
"33","Devonta Smith","","PHI","WR","22Y","23.9"
"34","Deebo Samuel","","SF","WR","25Y","23.8"
"35","Amari Cooper","","DAL","WR","27Y","23.0"
"36","Mark Andrews","","BAL","TE","26Y","22.9"
"37","Diontae Johnson","","PIT","WR","25Y","22.8"
"38","Jaylen Waddle","","MIA","WR","22Y","22.8"
"39","TJ Hockenson","","DET","TE","24Y","22.7"
"40","Patrick Mahomes","","KC","QB","26Y","22.3"
"41","Mike Williams","","LAC","WR","27Y","22.1"
"42","Tee Higgins","","CIN","WR","22Y","22.0"
"43","David Montgomery","","CHI","RB","24Y","21.6"
"44","George Kittle","","SF","TE","28Y","21.2"
"45","Josh Allen","","BUF","QB","25Y","20.8"
"46","Jerry Jeudy","","DEN","WR","22Y","20.8"
"47","Chase Claypool","","PIT","WR","23Y","20.1"
"48","Clyde Edwards-Helaire","","KC","RB","22Y","20.0"
"49","Mike Evans","","TB","WR","28Y","19.9"
"50","Kyler Murray","","ARI","QB","24Y","19.5"
"51","Josh Jacobs","","LVR","RB","23Y","19.3"
"52","JK Dobbins","","BAL","RB","22Y","18.7"
"53","Noah Fant","","DEN","TE","23Y","18.6"
"54","Lamar Jackson","","BAL","QB","24Y","18.3"
"55","Dak Prescott","","DAL","QB","28Y","18.2"
"56","Keenan Allen","","LAC","WR","29Y","18.2"
"57","Justin Herbert","","LAC","QB","23Y","17.8"
"58","Marquise Brown","","BAL","WR","24Y","17.5"
"59","Rondale Moore","","ARI","WR","21Y","17.2"
"60","Michael Pittman","","IND","WR","24Y","17.0"
"61","James Robinson","","JAX","RB","23Y","16.6"
"62","Rashod Bateman","","BAL","WR","21Y","16.0"
"63","Courtland Sutton","","DEN","WR","26Y","15.8"
"64","Kadarius Toney","","NYG","WR","22Y","15.3"
"65","Robert Woods","","LAR","WR","29Y","15.0"
"66","Laviska Shenault","","JAX","WR","23Y","15.0"
"67","Joe Burrow","","CIN","QB","24Y","14.8"
"68","Dallas Goedert","","PHI","TE","26Y","14.6"
"69","Trevor Lawrence","","JAX","QB","22Y","14.4"
"70","Michael Thomas","","NO","WR","28Y","14.4"
"71","Kareem Hunt","","CLE","RB","26Y","14.0"
